Questions,GroundTruth
Que peut-on dire sur les écarts sensibles et les hypothèses dans le calcul de la formule standard ? ,"Écarts sensibles par rapport aux hypothèses qui sous-tendent le calcul selon la formule standard. Lorsqu’il n’est pas approprié de calculer le capital de solvabilité requis en application de la formule standard conformément à la sous-section 2, parce que le profil de risque de l’entreprise d’assurance ou de réassurance concernée s’écarte significativement des hypothèses qui sous-tendent le calcul selon la formule standard, les autorités de contrôle peuvent, par décision motivée, exiger de l’entreprise concernée qu’elle utilise un modèle interne pour calculer son capital de solvabilité requis ou les modules de risque pertinents de celui-ci."
Quels sont les modèles et données externes mentionnés et leurs contraintes ?,Modèles et données externes. L’utilisation d’un modèle ou de données provenant d’un tiers n’est considérée comme un motif d’exemption d’aucune des exigences applicables au modèle interne conformément aux articles 120 à 125.
Quelles sont les mesures pour le traitement de données à caractère personnel dans le cadre de la sécurité des réseaux et systèmes ?,"Le traitement de données à caractère personnel dans la mesure strictement nécessaire et proportionnée aux fins de garantir la sécurité du réseau et des informations, c'est-à-dire la capacité d'un réseau ou d'un système d'information de résister, à un niveau de confiance donné, à des événements accidentels ou à des actions illégales ou malveillantes qui compromettent la disponibilité, l'authenticité, l'intégrité et la confidentialité de données à caractère personnel conservées ou transmises, ainsi que la sécurité des services connexes offerts ou rendus accessibles via ces réseaux et systèmes, par des autorités publiques, des équipes d'intervention en cas d'urgence informatique (CERT), des équipes d'intervention en cas d'incidents de sécurité informatique (CSIRT), des fournisseurs de réseaux et de services de communications électroniques et des fournisseurs de technologies et services de sécurité, constitue un intérêt légitime du responsable du traitement concerné. Il pourrait s'agir, par exemple, d'empêcher l'accès non autorisé à des réseaux de communications électroniques et la distribution de codes malveillants, et de faire cesser des attaques par déni de service et des dommages touchant les systèmes de communications informatiques et électroniques."
Quelles autorités doivent être désignées par les États membres et pourquoi ? ,"Les États membres devront désigner des autorités de surveillance chargées de la mise en œuvre des exigences législatives. La fonction de surveillance pourrait s’appuyer sur les dispositions existantes, concernant par exemple les organismes d’évaluation de la conformité ou la surveillance du marché, mais exigerait une expertise technologique et des ressources humaines et financières suffisantes."
Quelle est la mission principale de l’Agence française anticorruption ? ,"L’Agence française anticorruption est un service à compétence nationale, placé auprès du ministre de la justice et du ministre chargé du budget, ayant pour mission d’aider les autorités compétentes et les personnes qui y sont confrontées à prévenir et à détecter les faits de corruption, de trafic d’influence, de concussion, de prise illégale d’intérêt, de détournement de fonds publics et de favoritisme."
Quelles sont les conditions nécessaires pour qu'un compte soit considéré comme inactif ?,"Les établissements de crédit mentionnés au titre Ier du livre V ainsi que les établissements de monnaie électronique et les établissements de paiement mentionnés au titre II du même livre recensent chaque année les comptes inactifs ouverts dans leurs livres. « Un compte est considéré comme inactif : 1. Soit à l’issue d’une période de douze mois au cours de laquelle les deux conditions suivantes sont remplies : a) Le compte n’a fait l’objet d’aucune opération, hors inscription d’intérêts et débit pa...b) Le titulaire du compte, son représentant légal ou la personne habilitée par lui ne s’est pas manifesté, sous quelque forme que ce soit, auprès de cet établissement ni n’a effectué aucune opération sur un autre compte ouvert à son nom dans les livres de l’établissement."
Comment le principe de proportionnalité est-il appliqué dans les entités financières ? ,"Principe de proportionnalité 1. Les entités financières mettent en œuvre les règles énoncées au chapitre II conformément au principe de proportionnalité, en tenant compte de leur taille et de leur profil de risque global ainsi que de la nature, de l’ampleur et de la complexité de leurs services, activités et opérations. 2. En outre, l’application par les entités financières des chapitres III et IV et du chapitre V, section I, est proportionnée à leur taille et à leur profil de risque global, ainsi qu’...à la nature, à l’ampleur et à la complexité de leurs services, activités et opérations, comme le prévoient expressément les règles pertinentes desdits chapitres. 3. Les autorités compétentes tiennent compte de l’application du principe de proportionnalité par les entités financières lorsqu’elles examinent la cohérence du cadre de gestion du risque lié aux TIC sur la base des rapports présentés à la demande des autorités compétentes conformément à l’article 6, paragraphe 5, et à l’article 16, paragraphe..."
Pourquoi les informations sur les bénéficiaires effectifs jouent-elles un rôle crucial ?,"Les États membres sont actuellement tenus de veiller à ce que les sociétés et autres entités juridiques constituées sur leur territoire obtiennent et conservent des informations adéquates, exactes et actuelles sur leurs bénéficiaires effectifs. La nécessité de disposer d’informations exactes et actualisées sur le bénéficiaire effectif joue un rôle déterminant pour remonter jusqu’aux criminels, qui pourraient autrement masquer leur identité derrière une structure de société. Le système financier inter...connecté à l’échelle mondiale permet de dissimuler et de transférer des fonds à travers le monde, une possibilité dont les blanchisseurs des capitaux, ceux qui financent le terrorisme ainsi que d’autres criminels ont de plus en plus fait usage."
Quel est l’objectif des normes de routage sécurisé dans les réseaux publics ?,"Afin de préserver la sécurité et de prévenir les abus et la manipulation des réseaux publics de communications électroniques et des services de communications électroniques accessibles au public, il convient de promouvoir l’utilisation de normes de routage sécurisé pour garantir l’intégrité et la solidité des fonctions de routage dans l’ensemble de l’écosystème des fournisseurs de services d’accès à internet."
Quelle coordination est souhaitée en cas d’incidents liés à des activités criminelles graves ? ,"Lorsqu’il y a lieu de suspecter qu’un incident est lié à des activités criminelles graves au regard du droit de l’Union ou du droit national, les États membres devraient encourager les entités essentielles et importantes, sur la base de leurs procédures pénales applicables conformément au droit de l’Union, à notifier aux autorités répressives compétentes tout incident de ce type. Le cas échéant, et sans préjudice des règles de protection des données à caractère personnel applicables à Europol, il est...souhaitable que la coordination entre les autorités compétentes et les autorités répressives de différents États membres soit facilitée par le Centre européen de lutte contre la cybercriminalité (CE3) et l’ENISA."
